"id","condizione","tr"
"sbj_1","A",62.4716340543187
"sbj_2","A",8.30607181414962
"sbj_3","A",129.704628040301
"sbj_4","A",4.13608756227472
"sbj_5","A",10.6446994934231
"sbj_6","A",118.737602693247
"sbj_7","A",62.8118423724032
"sbj_8","A",11.9472392136231
"sbj_9","A",41.7951238786286
"sbj_10","A",5.11227403767407
"sbj_11","A",176.843159689027
"sbj_12","A",28.7212941795588
"sbj_13","A",85.9485952141595
"sbj_14","A",32.1255946997553
"sbj_15","A",71.7714962507498
"sbj_16","A",109.959637833046
"sbj_17","A",19.1755622751158
"sbj_18","A",53.0746349578208
"sbj_19","A",32.6070298673585
"sbj_20","A",31.9514073198661
"sbj_21","A",6.84927448164672
"sbj_22","A",11.9606820400804
"sbj_23","A",33.0880472669378
"sbj_24","A",37.6548985859238
"sbj_25","A",2.72405724972486
"sbj_26","B",3.35563268512487
"sbj_27","B",1.60355536267161
"sbj_28","B",10.7658425342346
"sbj_29","B",73.6642576339555
"sbj_30","B",15.3825688362602
"sbj_31","B",9.59609316661954
"sbj_32","B",17.836552704458
"sbj_33","B",4.62538570165634
"sbj_34","B",28.4924403399298
"sbj_35","B",6.05661137960851
"sbj_36","B",29.1984793527012
"sbj_37","B",2.60791584163736
"sbj_38","B",61.684515613973
"sbj_39","B",13.3602007851005
"sbj_40","B",10.0668807576928
"sbj_41","B",2.84691923297942
"sbj_42","B",19.443150268358
"sbj_43","B",20.3629117450657
"sbj_44","B",71.4188758614373
"sbj_45","B",19.056366252804
"sbj_46","B",22.3025242044571
"sbj_47","B",16.4985693254384
"sbj_48","B",7.90812082588673
"sbj_49","B",14.9772661001215
"sbj_50","B",18.951933569366
