"sesso","gruppo","proporzione_raven","tempo_completamento","memoria_lavoro","punteggio_empatia"
"M","A",1,13.6019688095083,29.9386942373759,26.1219856416511
"M","A",0,12.2635736556045,29.8452112050045,25.1906181822511
"M","A",1,12.2014163764388,27.6610128947506,26.2804138293577
"M","A",0,21.7963461285931,20.958116958615,28.4524832356961
"M","A",0,11.452950116249,25.4027369668467,35.9925438557291
"M","A",1,23.3546392490325,24.5980233241488,27.5571744393056
"M","A",1,7.91756194584413,28.8149476661024,33.4039974807576
"M","A",0,15.4936283565037,24.1378062194809,31.1537705782528
"M","A",1,12.9590730837182,30.8848669334281,27.4318005224693
"M","A",1,13.4112066462245,24.1270957111649,20.335489985547
"M","A",0,14.2792775138463,31.2635573278967,25.3944134122374
"M","A",1,10.466321632338,20.7541149666697,25.5506477343076
"M","A",0,11.0501046523265,19.6992237762094,28.2357721638076
"M","A",1,9.01025475864942,42.205199674712,34.5009933883341
"M","A",1,8.88423193487955,23.9157120591978,39.4653948691555
"M","A",0,13.8650553649026,27.4911379577036,35.7379052949188
"M","A",1,14.6690094338182,29.1828483701692,27.3342451783553
"M","A",1,12.6278234008777,23.5810968714563,19.2173630222118
"M","A",1,17.8502142034033,28.584310221568,26.0561006796413
"M","A",0,30.2809414977596,27.8448226369254,28.4460361153665
"M","A",0,10.5034837475543,24.9230974617915,32.2250650203372
"M","A",0,6.848729552148,26.3264651676266,32.8126398424214
"M","A",1,18.5101751272829,25.8296637313077,31.4215471470823
"M","A",0,9.8282280763184,36.6422594950809,21.0236282510027
"M","A",0,9.89001235525002,22.2933195186359,32.2482152281668
"M","A",0,18.6719026010836,20.5200186646267,25.7672139178639
"M","A",1,11.2285041259179,26.1889419958554,28.8740135008063
"M","A",1,8.55220796686956,27.5524037472157,28.3727558858687
"M","A",1,13.2382017662125,28.1826173945509,30.1408338248525
"M","A",1,11.7982497037094,23.7081733364445,28.1233749141307
"M","A",0,12.4146554770736,20.683369330144,19.6626245120717
"M","A",0,14.3107369099539,32.3159258804475,31.6824798238672
"M","A",0,10.9156653772895,24.2517480602322,29.9301328417484
"M","A",0,15.8767330925673,21.6724356867331,26.6717418736089
"M","A",1,11.4734426605298,24.8186021552945,28.5907225552334
"M","A",1,14.0166167300257,25.0141205282572,28.6701932268423
"M","A",0,19.2692005656341,31.5496014485682,29.105097342805
"M","A",1,14.593721695724,26.423686460986,36.2042308298874
"M","A",1,11.0765739900567,29.7702689259226,26.9047481053326
"M","A",1,19.7211402225323,23.5035399141387,28.8403269194233
"M","A",1,18.4113627436015,27.072226547908,33.8419193653455
"M","A",1,15.2680607117415,24.3765704425458,33.2709051168846
"M","A",1,13.5270122900332,26.4729176408679,33.7263155519018
"M","A",1,10.0695717895248,21.5231832101123,25.1126599947022
"M","A",1,21.7164199869585,19.4459923333601,38.0124136514641
"M","A",1,10.1543666453125,35.9860669237398,28.3335043546509
"M","A",1,32.4509231001243,29.0035441183621,37.3342592235343
"M","A",1,23.5332492500645,19.7436431918753,21.2454865698464
"M","A",1,11.4146201564647,22.9441704165979,28.1049179317712
"M","A",0,8.99142160656114,20.0725995770134,34.2495728548461
"F","B",1,4.82473620993536,40.9940517444186,20.423789063886
"F","B",1,8.62038912263647,36.5620648821676,20.2365551589113
"F","B",0,6.37245549241336,28.6742747165182,19.3073064819655
"F","B",1,5.99829007050104,32.7159702961604,18.7374336033063
"F","B",1,4.1746430583461,27.9283002604057,21.814202334098
"F","B",1,7.19210117737448,27.6187655269221,25.6558958647949
"F","B",1,4.61382540296485,26.0569858107488,13.9289475103964
"F","B",0,2.71620269816384,27.0269136627024,25.0599021668615
"F","B",0,5.88180735409998,38.2545373366834,30.1833752320829
"F","B",1,12.8250201914346,29.7298593745728,34.1878700912022
"F","B",1,5.23199062572971,30.5962261821379,30.5058799610029
"F","B",1,10.6416824172445,31.2184371479955,27.7838738189798
"F","B",1,2.79902285250972,36.1623793924267,15.3663480044283
"F","B",1,7.1467865397896,27.4196808452761,20.9924664599661
"F","B",0,10.091003883862,25.0374642480398,22.2397677170869
"F","B",1,8.85243017437667,38.3784846620159,27.5176195137845
"F","B",0,7.87273651310501,27.7941839154736,23.4716433299811
"F","B",0,5.03078680838389,26.3846701503006,17.7067568596991
"F","B",0,4.43788269575492,23.8186344055835,32.4221785404706
"F","B",1,3.99691464860504,23.576421388411,28.5569564589798
"F","B",0,7.92948395311529,27.1301326035101,25.1871513624551
"F","B",1,4.18503568793921,33.0899290858326,30.0905430516291
"F","B",1,5.50504824385668,35.5492406946486,17.3061285638251
"F","B",1,6.33661481297754,33.5379417691779,27.304101488949
"F","B",1,22.3386241105626,28.1817135145237,21.3854381184329
"F","B",1,4.99696165627054,30.298749686923,27.4187276092536
"F","B",1,8.50991490711115,26.4770176815997,23.6958902266996
"F","B",1,7.74290166710777,26.4139091921299,27.1648035651573
"F","B",1,4.14907749645602,34.4232524948846,30.677588075297
"F","B",1,7.0795839958133,24.9220371069823,24.0364504515845
"F","B",1,17.5794483974248,39.7764698274623,29.0877931847605
"F","B",1,9.68813975618923,29.5484020301707,18.0578298242601
"F","B",1,7.57413954251164,31.0726941331461,20.3919777978199
"F","B",0,5.7345076714689,26.3073614763021,31.5960885569409
"F","B",1,2.15556240666055,27.1280565511837,25.8869398651196
"F","B",1,14.5676355951165,23.4149193384738,13.7388858978314
"F","B",0,3.07595664655157,29.0853730581364,17.1798127395881
"F","B",0,11.5186620442022,32.0949120246223,22.9960949220544
"F","B",0,23.2304087295958,31.6215217208069,28.3288970216724
"F","B",1,3.10702011169476,26.0923175647262,23.4905837214239
"F","B",1,11.257905592868,26.05689014573,27.1209373601033
"F","B",1,6.31344512621281,27.4890064082857,28.7950268889391
"F","B",1,2.87690051489697,37.4803033492318,32.3552741443147
"F","B",1,2.97784358009921,24.3134818966713,24.2800836663748
"F","B",1,2.82661051469831,29.104742028099,23.7400904690955
"F","B",1,5.37337437655462,39.5118091083946,15.2338132042887
"F","B",0,3.07389857161912,29.495125573356,24.4966379704391
"F","B",1,11.1646223892643,23.200796480893,21.1407497105222
"F","B",1,26.0512399083297,26.6761528236297,19.1299520859795
"F","B",1,3.41364868335999,32.4272998945244,23.1004688447623
