"id","pre_cutoff","post_cutoff","pre_tempo","post_tempo","pre_punteggio","post_punteggio"
1,"Sotto","Sopra",113.415386391468,119.4208574616,106.843546047697,107.363806933915
2,"Sopra","Sopra",231.976031000455,189.280209133726,82.9661729443849,77.612417591675
3,"Sotto","Sotto",492.966451537269,491.303055615117,93.4653179546214,99.2159186105621
4,"Sopra","Sopra",134.089004050207,146.765220742405,105.191554293304,109.795495747011
5,"Sopra","Sotto",216.803909845532,252.154299967555,90.294315530226,94.8074691926605
6,"Sotto","Sotto",315.705672361679,354.581511416207,67.6353049747708,73.716067683777
7,"Sopra","Sotto",332.198700426284,362.727983308777,113.263762300423,122.676088122406
8,"Sopra","Sopra",184.686402343205,152.828171849221,87.5578358256322,93.5858233480492
9,"Sopra","Sotto",131.715418518048,167.204709887049,91.3965959384758,93.3144167241081
10,"Sotto","Sotto",323.053490532554,319.656774039737,122.558509135068,123.884512875462
11,"Sopra","Sopra",178.82878318632,194.072864191158,88.3878260559189,92.728812090713
12,"Sotto","Sotto",330.538090510604,342.774625825816,112.685973102839,119.236058035734
13,"Sopra","Sopra",283.726405905314,306.57140885443,81.0897568177184,80.8913550542082
14,"Sopra","Sopra",244.832736197183,255.572985681967,94.6818639538903,98.7603196096784
15,"Sotto","Sotto",122.68869742918,82.6644445016099,98.8966597129528,108.732996013792
16,"Sopra","Sotto",436.386312554317,468.48119149752,82.4702286336347,86.9288281774622
17,"Sotto","Sotto",409.213268491604,430.794065542094,90.4787760263664,91.9866726883944
18,"Sotto","Sotto",308.515017365288,310.545468606941,99.5673767060753,103.187650863948
19,"Sotto","Sotto",291.787890524313,305.332225855714,110.060439531009,120.633682257819
20,"Sopra","Sopra",347.909886743059,361.931046104113,75.2418018486234,82.992021654694
21,"Sopra","Sotto",700.134141250377,716.764725307207,94.753686411831,105.937065412239
22,"Sopra","Sopra",349.383834609013,408.609219588337,111.346096578182,117.041585863991
23,"Sopra","Sopra",106.2588518755,109.687340507495,91.9178626003361,98.9692380827882
24,"Sopra","Sotto",239.550243628299,254.592205144839,103.409378825094,105.617094263353
25,"Sopra","Sopra",82.9894599735276,128.0409761656,107.383428550966,115.410281895618
26,"Sopra","Sotto",477.124476849614,518.749907550922,104.017525229975,106.485857519029
27,"Sopra","Sotto",495.33793059098,539.695823902391,109.798865192071,107.696037668592
28,"Sopra","Sopra",629.134719155309,621.810679123522,98.1593700853393,103.79933491376
29,"Sotto","Sotto",261.852445613977,331.926927522762,93.7948522961182,108.524108384775
30,"Sotto","Sotto",158.661993161535,170.663019289441,60.3527657195653,69.3573374174306
31,"Sopra","Sopra",480.83706338361,546.842618724816,98.6058847228079,109.432151672539
32,"Sopra","Sopra",36.6683877575392,6.14130717661783,106.4542704454,113.248549060866
33,"Sopra","Sopra",355.291669995011,365.921177585638,108.030982613022,109.988196721441
34,"Sopra","Sopra",209.80789380611,257.305330935187,91.6708247303012,95.6596204547498
35,"Sotto","Sotto",372.394811837619,360.937546220936,126.692543646627,130.326303112568
36,"Sotto","Sotto",179.409277563722,166.82860851719,104.296366294432,106.952867395522
