"id","alpha0","alpha1"
"sbj_1",8.43457261058402,16.4638343258741
"sbj_2",5.76610270887613,13.249817052436
"sbj_3",13.2905486780674,21.1438114125436
"sbj_4",0.315773591083119,0.474612310890499
"sbj_5",0.562109760940075,3.55135821737349
"sbj_6",3.1650121637771,14.0042108911679
"sbj_7",3.14227292215297,5.67535156518066
"sbj_8",1.45266803912818,2.75045712577855
"sbj_9",27.262364643297,40.2468252256235
"sbj_10",0.291534470825726,6.43666312958836
"sbj_11",10.0483005769075,14.0017093711751
"sbj_12",4.80214727659774,7.94854766539362
"sbj_13",2.81013627536595,9.08334129010514
"sbj_14",3.77117831067134,6.71460152178023
"sbj_15",1.88284040894359,7.52929057818922
"sbj_16",8.49786129738104,10.5996853108974
"sbj_17",15.632035396153,51.6870732762315
"sbj_18",4.78760416336555,9.01621398935324
"sbj_19",5.90934835374355,7.03705838648602
"sbj_20",40.410117113725,45.9118112013853
"sbj_21",8.43149731133774,19.6730257729628
"sbj_22",9.65871211099339,16.4773836073684
"sbj_23",14.8527579401807,17.7347162804754
"sbj_24",13.4804448574306,27.1068241064179
"sbj_25",11.6852898425878,18.2461050555954
